date,temp_mean_all,surface_temp_mean_all,soil_temp_10_mean_all,soil_temp_20_mean_all,soil_temp_50_mean_all,relhum_mean_all,abshum_mean_all,dew_point_temp_mean_all,windspeed_mean,windspeed_az_mean,windspeed_el_mean,winddirection_mean,winddirection_az_mean_angle,winddirection_el_mean_angle,precipitation_sum_all,pressure_mean_all,pressure_reduced_mean_all,global_radiation_short_wave_mean,global_radiation_long_wave_mean,reflex_radiation_short_wave_mean,reflex_radiation_long_wave_mean,albedo_mean_all,net_solar_rad_mean,net_far_infrared_rad_mean,sky_temp_mean,ground_temp_mean,total_net_rad_mean,precipitation_sum_730,precipitation_sum_550,wind_u_mean,wind_v_mean,rgs_roof_global_radiation_short_wave_mean,rgs_roof_diffuse_radiation_short_wave_mean,rgs_roof_diffuse_radiation_short_wave_corrected_mean,rgs_roof_global_radiation_long_wave_mean,rgs_roof_direct_radiation_mean,rgs_roof_direct_rad_perpendicular_mean,rgs_roof_sunshine_duration_sum
2020-07-14,15.570138888888888,17.674305555555556,19.630555555555556,19.27777777777778,17.28611111111111,78.03888888888889,9.974872021170594,11.190972222222221,1.1708333333333334,1.1652777777777779,0.20763888888888887,244.26800166053619,255.85579230183941,9.198088608395876,1.7,1000.1465277777778,1015.2729166666666,172.40972222222223,360.98235578957434,26.618055555555557,403.54485578957434,0.1561310951069808,220.29166666666666,-42.5625,9.111031477024614,17.04023598646136,103.22916666666667,3.9,3.9,1.0547272857533598,0.5083316310557457,,,,,,,
2020-07-15,15.543055555555554,17.50277777777778,18.9,18.643749999999997,17.304166666666667,76.47708333333334,9.924631641052876,11.121527777777779,1.6659722222222222,1.7125,0.3013888888888889,278.0567532806087,278.4878027064442,15.049341040433365,2.2,999.2743055555555,1014.3861111111112,175.52777777777777,365.47960613816053,27.0,404.7851616937161,0.14434760650086703,223.98958333333334,-39.30555555555556,10.136145964604513,17.439136761919844,109.22222222222223,1.3,1.3,1.6495286225888866,-0.23349254479760187,,,,,,,
2020-07-16,14.958333333333334,15.153472222222222,17.702777777777776,17.77013888888889,17.168055555555554,92.01458333333333,11.757423536427037,13.730555555555556,1.0909722222222222,1.0916666666666666,0.2652777777777778,246.35917499354193,252.77159676111285,9.018086766286608,9.8,1001.7895833333334,1016.9638888888888,68.27083333333333,382.27051987749263,8.506944444444445,398.0344087663815,0.11983637211955459,88.98979591836735,-15.76388888888889,13.38868353111726,16.27881570886489,43.99999999999999,8.5,8.5,0.9994148178416871,0.4374818985271977,,,,,,,
2020-07-17,17.26736111111111,19.48888888888889,19.061805555555555,18.345833333333335,16.958333333333332,81.52777777777777,11.767167231937131,13.884722222222223,1.6173611111111112,1.6701388888888888,0.26805555555555555,279.202063148739,280.1011281486053,11.297849607680881,0.1,1005.3062500000001,1020.4131944444445,226.02083333333334,367.6425314189524,35.36805555555556,414.8716980856191,0.14826606080001353,275.49,-47.229166666666664,10.550988139963101,19.16138085201179,143.42361111111111,0.1,0.1,1.5965464941196599,-0.25864310516383576,,,,,,,
2020-07-18,19.431944444444444,21.62777777777778,20.047222222222224,19.21597222222222,17.218055555555555,75.61458333333333,12.21625762870138,14.573611111111111,0.6645833333333333,0.6583333333333333,0.14166666666666666,166.93977335330672,141.94092340174697,4.888647608841904,0.0,1003.8041666666666,1018.78125,204.32638888888889,379.4713415937936,30.76388888888889,426.2699527049047,0.14733682346895555,258.659793814433,-46.798611111111114,12.832900823303312,21.110614492943768,126.76388888888889,0.0,0.0,-0.15017931323391262,0.6473926017657561,,,,,,,
2020-07-19,21.725,23.87986111111111,21.379166666666666,20.35,17.632638888888888,61.239583333333336,11.393273627862722,13.528472222222222,1.7326388888888888,1.7527777777777778,0.34861111111111115,268.5169979528288,275.48186756606947,15.160596389305269,0.0,1000.5840277777778,1015.4013888888888,244.81944444444446,374.6303349578839,38.65972222222222,432.1581127356617,0.15762851038194112,297.97,-57.52777777777778,11.904954630105697,22.14725946143009,148.63194444444446,1.3,1.3,1.732058536131442,0.04484135038477235,,,,,,,
2020-07-20,17.260416666666668,18.586805555555557,20.380555555555556,20.011805555555554,18.047916666666666,68.50763888888889,9.79339434246021,10.85763888888889,1.6888888888888889,1.6958333333333333,0.3590277777777778,341.15837369368614,340.66511699950985,14.992660441089185,1.4,1004.1569444444444,1019.2472222222223,189.77777777777777,358.4373273860106,29.9375,407.9512162748995,0.14718748771193457,246.9255319148936,-49.513888888888886,8.688211881061555,17.953676241290825,110.32638888888889,0.1,0.1,0.5454323515495535,-1.5983895735694318,,,,,,,
2020-07-21,15.325694444444444,17.729166666666668,19.824305555555554,19.39513888888889,17.955555555555556,65.22291666666666,8.115719074264577,8.154166666666667,1.426388888888889,1.4187500000000002,0.26666666666666666,294.5389736860564,297.9939072092798,10.310032763348772,0.0,1008.2868055555555,1023.5437499999999,259.96527777777777,328.29689488327926,42.548611111111114,397.98439488327926,0.16248501860102796,335.6170212765957,-69.6875,2.5569834459471084,15.942370408149081,147.72916666666666,0.0,0.0,1.297555986813895,-0.5923965930262414,,,,,,,
2020-07-22,15.305555555555555,17.633333333333333,19.80138888888889,19.360416666666666,17.87847222222222,66.78541666666666,8.346377035703306,8.556944444444445,1.113888888888889,1.1034722222222222,0.2576388888888889,336.9737948635035,341.59456649136297,9.403875162463057,0.0,1007.5562500000001,1022.8048611111111,240.79166666666666,331.9084781542986,38.729166666666664,397.5959781542986,0.16276841044723891,308.5052631578947,-65.6875,3.3202090721441775,15.884563535709946,136.375,0.0,0.0,0.43569997265304267,-1.0251409613415423,,,,,,,
2020-07-23,17.119444444444444,20.768749999999997,20.568055555555556,19.741666666666667,17.828472222222224,63.895833333333336,8.668298234622007,9.175,0.9291666666666667,0.9319444444444444,0.20902777777777778,238.50611065572213,250.15058808280355,7.605332560631545,0.0,1001.8347222222224,1016.9055555555556,299.36805555555554,337.8907782454783,47.888888888888886,411.5157782454783,0.16376245554190583,382.9263157894737,-73.625,4.544537834624954,18.23918544103071,177.85416666666666,0.0,0.0,0.7922965927105654,0.4854037532031174,,,,,,,
2020-07-24,18.625694444444445,20.37013888888889,21.044444444444444,20.397222222222222,18.094444444444445,69.1576388888889,10.921146098786274,12.752777777777778,1.6756944444444446,1.6854166666666666,0.37916666666666665,255.9544062379602,254.76801609065916,12.811035050249378,0.4,997.126388888889,1012.0472222222221,175.75,381.27054436956126,27.0,415.49971103622795,0.16896065958502765,214.88,-34.229166666666664,13.15534359005375,19.328426503984655,114.52083333333333,0.4,0.4,1.6255960518149477,0.4066808914439302,,,,,,,
2020-07-25,18.789583333333333,19.834027777777777,20.32638888888889,19.85763888888889,18.136805555555554,77.91388888888889,12.38959607319316,14.747222222222222,1.167361111111111,1.0861111111111112,0.35555555555555557,218.55947273646916,240.44926472300574,12.34853133609396,0.0,996.4861111111111,1011.3888888888889,143.11805555555554,382.2362567930792,20.881944444444443,414.3404234597458,0.1409928169464286,186.38947368421051,-32.104166666666664,13.272997760583602,19.105457598537768,90.13194444444444,7.8,7.8,0.7276472843536165,0.9128315251498357,,,,,,,
2020-07-26,18.629166666666666,20.362499999999997,20.710416666666667,20.070138888888888,18.147916666666667,78.33333333333333,12.207137153230285,14.469444444444443,1.9645833333333331,1.8680555555555556,0.5041666666666667,255.44516634893253,257.8403976339011,19.75509056911952,9.3,996.1298611111112,1011.0368055555555,222.70138888888889,379.229450532553,37.166666666666664,417.99333942144193,0.1537794254486171,298.8,-38.763888888888886,12.773782635207622,19.765279162494068,146.77083333333334,1.6,1.6,1.9015350928772567,0.49371243063892206,,,,,,,
