MESSPUNKT;JAHR;MONAT;ZEIT_VON;ZEIT_BIS;MESSWERT
4;2021;Juli;20210630;20210729;27
4;2021;August;20210730;20210827;28
4;2021;September;20210828;20210928;31
4;2021;Oktober;20210929;20211027;33
4;2021;November;20211028;20211127;33
4;2021;Dezember;20211128;20211229;31
4;2022;Januar;20211229;20220129;34
4;2022;Februar;20220129;20220302;33
4;2022;März;20220302;20220331;39
4;2022;April;20220331;20220502;33
4;2022;Mai;20220502;20220601;33
4;2022;Juni;20220601;20220702;32
5;2008;Januar;20080103;20080201;38
5;2008;Februar;20080201;20080229;65
5;2008;März;20080229;20080401;60
5;2008;April;20080401;20080430;67
5;2008;Mai;20080430;20080530;77
5;2008;Juni;20080530;20080701;61
5;2008;Juli;20080701;20080801;58
5;2008;August;20080801;20080902;45
5;2008;September;20080902;20081001;59
5;2008;Oktober;20081001;20081104;54
5;2008;November;20081104;20081203;-9999
5;2008;Dezember;20081203;20090104;57
5;2009;Januar;20090105;20090130;63
5;2009;Februar;20090130;20090228;65
5;2009;März;20090228;20090401;65
5;2009;April;20090401;20090501;60
5;2009;Mai;20090501;20090601;52
5;2009;Juni;20090601;20090629;55
5;2009;Juli;20090629;20090731;45
5;2009;August;20090731;20090831;55
5;2009;September;20090831;20090930;56
5;2009;Oktober;20090930;20091031;64
5;2009;November;20091031;20091202;41
5;2009;Dezember;20091202;20091229;54
5;2010;Januar;20091229;20100201;54
5;2010;Februar;20100201;20100303;54
5;2010;März;20100303;20100331;61
5;2010;April;20100331;20100430;58
5;2010;Mai;20100430;20100602;61
5;2010;Juni;20100602;20100630;57
5;2010;Juli;20100630;20100803;53
5;2010;August;20100803;20100901;44
5;2010;September;20100901;20101001;50
5;2010;Oktober;20101001;20101102;51
5;2010;November;20101102;20101129;55
5;2010;Dezember;20101129;20101230;63
5;2011;Januar;20101230;20110201;54
5;2011;Februar;20110201;20110301;47
5;2011;März;20110301;20110330;54
5;2011;April;20110330;20110429;62
5;2011;Mai;20110429;20110531;48
5;2011;Juni;20110531;20110630;43
